Rank,Gene,
1035,DNM1,
1036,CBX3,
1037,JAK1,
1038,DLL3,
1039,GRM1,
1040,ABCG5,
1041,PMCH,
1042,ACTN4,
1043,IAPP,
1044,CXCL1,
1045,RHOC,
1046,RABGAP1L,
1047,RAB7A,
1048,CLTC,
1049,ELK1,
1050,ACTN1,
1051,ADCY3,
1052,GNAQ,
1053,PDYN,
1054,PLXDC2,
1055,AIF1,
1056,NDUFS8,
1057,MYO5B,
1058,PPBP,
1059,NKTR,
1060,NR1H4,
1061,SMARCA2,
1062,ACTC1,
1063,CXCR5,
1064,TMCC2,
1065,ADCY8,
1066,GRP,
1067,C9orf72,
1068,CBL,
1069,AKT2,
1070,PRL,
1071,BIRC5,
1072,DRD2,
1073,DTNA,
1074,OXT,
1075,CR1,
1076,YWHAZ,
1077,ADCY5,
1078,RGS19,
1079,SOS1,
1080,RUNX2,
1081,GPC3,
1082,PLCB1,
1083,PHLPP1,
1084,LIPC,
1085,IGF2,
1086,NOS2,
1087,GRM5,
1088,CTSK,
1089,PTK2,
1090,MCHR1,
1091,CXCR4,
1092,GPX1,
1093,ADCY6,
1094,POLR2B,
1095,ADCY2,
1096,CCK,
1097,RETN,
1098,NMU,
1099,CHRNA4,
1100,ARRB1,
1101,CXCL9,
1102,ADCY7,
1103,CXCR3,
1104,ANXA5,
1105,ADCY4,
1106,GNA11,
1107,GPC4,
1108,LPAR5,
1109,GPR17,
1110,MCHR2,
1111,SRF,
1112,ABCG1,
1113,DICER1,
1114,NCOA1,
1115,SOAT1,
1116,NMUR2,
1117,JAK3,
1118,NMUR1,
1119,SCAF11,
1120,NPC1L1,
1121,GNRH1,
1122,HPS1,
1123,NPSR1,
1124,PLCB2,
1125,PEPD,
1126,NMS,
1127,TAGLN,
1128,NCF2,
1129,CSF2,
1130,RAC2,
1131,NTSR1,
1132,GATA4,
1133,ANGPTL3,
1134,NF1,
1135,TRIO,
1136,RGS18,
1137,APOH,
1138,KRT16,
1139,AP1G1,
1140,ADCY9,
1141,GPC2,
